cycle,state,request,cpu_req_ready,cpu_stall,cache_hit,cache_miss,mem_rd,mem_wr,mem_ready,mem_data_valid,data_out_valid,data_out,note
56,DONE,"WRITE 0x8 data=300",0,0,0,0,0,0,0,0,0,0,""
57,IDLE,"WRITE 0xC data=400",1,0,0,0,0,0,0,0,0,0,""
58,COMPARE_TAG,"WRITE 0xC data=400",0,1,0,0,0,0,0,0,0,0,""
59,MISS,"WRITE 0xC data=400",0,1,0,1,0,0,0,0,0,0,""
60,CHECK_DIRTY,"WRITE 0xC data=400",0,1,0,0,0,0,0,0,0,0,"dirty=1"
61,WRITE_BACK,"WRITE 0xC data=400",0,1,0,0,0,0,0,0,0,0,""
62,MEM_WRITE,"WRITE 0xC data=400",0,1,0,0,0,1,0,0,0,0,""
63,MEM_WAIT_WRITE_1,"WRITE 0xC data=400",0,1,0,0,0,1,0,0,0,0,""
64,MEM_WAIT_WRITE_2,"WRITE 0xC data=400",0,1,0,0,0,0,1,0,0,0,""
65,ALLOCATE,"WRITE 0xC data=400",0,1,0,0,0,0,0,0,0,0,""
66,MEM_READ,"WRITE 0xC data=400",0,1,0,0,1,0,0,0,0,0,""
67,MEM_WAIT_READ_1,"WRITE 0xC data=400",0,1,0,0,1,0,0,0,0,0,""
68,MEM_WAIT_READ_2,"WRITE 0xC data=400",0,1,0,0,0,0,0,1,0,0,""
69,UPDATE_CACHE_BLOCK,"WRITE 0xC data=400",0,1,0,0,0,0,0,0,0,0,""
70,UPDATE_TAG,"WRITE 0xC data=400",0,1,0,0,0,0,0,0,0,0,""
71,SET_VALID,"WRITE 0xC data=400",0,1,0,0,0,0,0,0,0,0,""
72,CHECK_WRITE_AFTER_ALLOC,"WRITE 0xC data=400",0,1,0,0,0,0,0,0,0,0,""
73,WRITE_AFTER_ALLOC,"WRITE 0xC data=400",0,1,0,0,0,0,0,0,0,0,""
74,UPDATE_CACHE,"WRITE 0xC data=400",0,1,0,0,0,0,0,0,0,0,""
75,SET_DIRTY,"WRITE 0xC data=400",0,1,0,0,0,0,0,0,0,0,""
76,DONE,"WRITE 0xC data=400",0,0,0,0,0,0,0,0,0,0,""
77,IDLE,"READ 0x0",1,0,0,0,0,0,0,0,0,0,""
78,COMPARE_TAG,"READ 0x0",0,1,0,0,0,0,0,0,0,0,""
79,MISS,"READ 0x0",0,1,0,1,0,0,0,0,0,0,""
80,CHECK_DIRTY,"READ 0x0",0,1,0,0,0,0,0,0,0,0,"dirty=1"
81,WRITE_BACK,"READ 0x0",0,1,0,0,0,0,0,0,0,0,""
82,MEM_WRITE,"READ 0x0",0,1,0,0,0,1,0,0,0,0,""
83,MEM_WAIT_WRITE_1,"READ 0x0",0,1,0,0,0,1,0,0,0,0,""
84,MEM_WAIT_WRITE_2,"READ 0x0",0,1,0,0,0,0,1,0,0,0,""
85,ALLOCATE,"READ 0x0",0,1,0,0,0,0,0,0,0,0,""
86,MEM_READ,"READ 0x0",0,1,0,0,1,0,0,0,0,0,""
87,MEM_WAIT_READ_1,"READ 0x0",0,1,0,0,1,0,0,0,0,0,""
88,MEM_WAIT_READ_2,"READ 0x0",0,1,0,0,0,0,0,1,0,0,""
89,UPDATE_CACHE_BLOCK,"READ 0x0",0,1,0,0,0,0,0,0,0,0,""
90,UPDATE_TAG,"READ 0x0",0,1,0,0,0,0,0,0,0,0,""
91,SET_VALID,"READ 0x0",0,1,0,0,0,0,0,0,0,0,""
92,CHECK_WRITE_AFTER_ALLOC,"READ 0x0",0,1,0,0,0,0,0,0,0,0,""
93,DONE,"READ 0x0",0,0,0,0,0,0,0,0,1,100,"data=100"
94,IDLE,"READ 0x10",1,0,0,0,0,0,0,0,0,0,""
95,COMPARE_TAG,"READ 0x10",0,1,0,0,0,0,0,0,0,0,""
96,MISS,"READ 0x10",0,1,0,1,0,0,0,0,0,0,""
97,CHECK_DIRTY,"READ 0x10",0,1,0,0,0,0,0,0,0,0,"dirty=0"
98,ALLOCATE,"READ 0x10",0,1,0,0,0,0,0,0,0,0,""
99,MEM_READ,"READ 0x10",0,1,0,0,1,0,0,0,0,0,""
100,MEM_WAIT_READ_1,"READ 0x10",0,1,0,0,1,0,0,0,0,0,""
101,MEM_WAIT_READ_2,"READ 0x10",0,1,0,0,0,0,0,1,0,0,""
102,UPDATE_CACHE_BLOCK,"READ 0x10",0,1,0,0,0,0,0,0,0,0,""
103,UPDATE_TAG,"READ 0x10",0,1,0,0,0,0,0,0,0,0,""
104,SET_VALID,"READ 0x10",0,1,0,0,0,0,0,0,0,0,""
105,CHECK_WRITE_AFTER_ALLOC,"READ 0x10",0,1,0,0,0,0,0,0,0,0,""
106,DONE,"READ 0x10",0,0,0,0,0,0,0,0,1,1160,"data=1160"
